,,,,,,,,,
Most Popular and liked - Technical Interview questions of all time ,,,,,,,,,
,,,,,,,,,
Num,LeetCode Problem,Topic,Video Explanation,Asked By Company + Number of Times,,,,,Level
,,,,,,,,,
1,Two Sum,Array,https://www.youtube.com/watch?v=BQ2IJ-fouJ4,Amazon - 108,Apple - 43,Google - 39,Facebook - 22,Bloomberg 13,Easy
2,Best Time to Buy and Sell Stock,Array,https://www.youtube.com/watch?v=CCQBvgPages,Amazon - 62,Microsoft - 19,Bloomberg - 15,Facebook - 12,Google - 12,Easy
3,Contains Duplicate,Array,https://www.youtube.com/watch?v=c_q_Pc2yg_0,Amazon -17,Apple - 15,Google - 8,Microsoft - 6,Facebook - 5,Easy
4,Contains Duplicate II,Array,https://www.youtube.com/watch?v=Te_MCY4uG-M,Amazon - 6,Facebook - 5,Google - 2,Microsoft - 2,Bloomberg - 3,Easy
5,Product of Array Except Self,Array,https://www.youtube.com/watch?v=UxmLwxH-lhM,Amazon - 34,Facebook - 13,Microsoft - 13,Apple - 8,Google - 2,Medium
6,Maximum Subarray,Array,https://www.youtube.com/watch?v=nr2djEYM7_A,Linked In - 39,Amazon - 32,Apple - 19,Microsoft - 16,Google - 15,Medium
7,Maximum Product Subarray,Array,https://www.youtube.com/watch?v=OuRQ_TCCjsU,Linked In - 26,Amazon - 21,Microsoft - 4,Google - 3,Infosys - 2,Medium
8,Find Minimum in Rotated Sorted Array,Array,https://www.youtube.com/watch?v=Dr69TSfv9JI,Amazon - 8,Microsoft - 7,Facebook - 5,Uber - 3,Apple - 2,Medium
9,Search in Rotated Sorted Array,Array,https://www.youtube.com/watch?v=sE_4DzVc71w,Amazon - 27,Facebook - 22,Microsoft - 22,Linked in - 21,Apple - 5,Medium
10,Two Sum - II,Array,https://www.youtube.com/watch?v=c9ywRRJcP1Y,Amazon - 10,Apple - 4,Google - 2,Facebook - 2,,Medium
11,3 Sum,Array,https://www.youtube.com/watch?v=WtloSzFYvho,Amazon - 40,Microsoft - 24,Facebook - 21,Apple - 16,Google - 8,Medium
12,Container With Most Water,Array,https://www.youtube.com/watch?v=wi8fqhNoV-Y,Amazon - 31,Microsoft - 8,Facebook - 8,Apple - 5,Google - 5,Medium
13,Verifying an Alien Dictionary,Array,https://www.youtube.com/watch?v=8NoyVvm1v88,Faccebook - 10,Uber - 4,Amazon - 2,Linked In - 3,Apple - 2,Easy
14,Next Permutation,Array,https://www.youtube.com/watch?v=oc3OOtGmH6U,Facebook - 33,Amazon - 19,Google - 12,Apple - 10,Microsoft - 8,Medium
15,Remove Duplicates from Sorted Array,Array,https://www.youtube.com/watch?v=0F49FLuzScU,Amazon - 3,Apple - 2,Microsoft - 6,Google - 4,Facebook - 4,Medium
16,Find First and Last Position of Element in Sorted Array,Array,https://www.youtube.com/watch?v=aPD6g96fRO4,Facebook - 23,Amazon - 21,Microsoft - 8,Bloomberg - 6,Google - 6,Medium
17,Trapping Rain Water,Array,https://www.youtube.com/watch?v=AFl_VxaO_F0,Amazon - 51,Goldman Sachs- 44,Bloomberg - 20,Facebook - 19,Microsoft - 12,Hard
18,Median of Two Sorted Arrays,Array,https://www.youtube.com/watch?v=LRM4qiHLYCE,Amazon - 39,Apple - 20,Microsoft - 18,Google - 15,Bloomberg - 9,Hard
19,Climbing Stairs,Dynamic Programming,https://www.youtube.com/watch?v=5mWBnYrdO70,Amazon - 16,Microsoft - 5,Uber - 3,Google - 2,Apple - 2,Easy
20,Coin Change,Dynamic Programming,https://www.youtube.com/watch?v=UOmlkfWMU6M,Amazon - 28,Microsoft - 13,Adobe - 6,Apple - 6,Google - 3,Medium
21,Longest Increasing Subsequence,Dynamic Programming,https://www.youtube.com/watch?v=cixz99yxgWA,Google - 12,Microsoft - 10,Amazon - 6,tiktok - 3,Facebook - 3,Medium
22,Longest Common Subsequence,Dynamic Programming,https://www.youtube.com/watch?v=lPnPdSIliII,DoorDash - 7,Amazon - 6,Google - 4,Bloomberg - 3,Microsoft - 2,Medium
23,Word Break Problem,Dynamic Programming,https://www.youtube.com/watch?v=XD9tXO9HW40,Amazon - 35,Facebook - 20,Apple - 6,Microsoft - 6,Google - 5,Medium
24,Combination Sum,Dynamic Programming,https://www.youtube.com/watch?v=dJBbuDK4ZRk,Amazon - 5,Google - 3,Microsoft - 2,Facebook - 3,Apple - 4,Medium
25,House Robber,Dynamic Programming,https://www.youtube.com/watch?v=jFmfYi_dvwQ,Amazon - 25,Apple - 11,Google - 5,Microsoft - 5,Bloomberg - 3,Medium
26,House Robber II,Dynamic Programming,https://www.youtube.com/watch?v=c_rwra1aITY,Google - 11,Tiktok - 2,Amazon - 6,Microsoft - 2,Facebook - 2,Medium
27,Decode Ways,Dynamic Programming,https://www.youtube.com/watch?v=ayGRvdnjFKg,Amazon - 9,Tiktok - 7,Google - 6,Microsoft - 6,Lyft - 5,Medium
28,Unique Paths,Dynamic Programming,https://www.youtube.com/watch?v=klWLMgdMWCY,Google - 17,Amazon - 10,Microsoft - 9,Facebook - 8,Apple - 6,Medium
29,Pascal's Triangle,Dynamic Programming,https://www.youtube.com/watch?v=f0EEHwaY3HY,Amazon - 13,Microsoft - 4,Google - 3,Apple - 2,Facebook - 2,Easy
30,Generate Parentheses,Dynamic Programming,https://www.youtube.com/watch?v=VzMyeCMLdPI,Amazon - 38,Facebook - 13,Microsoft - 09,Apple - 09,Bloomberg - 07,Medium
31,Jump Game,Dynamic Programming,https://www.youtube.com/watch?v=PVNLmjJaHW0,Amazon - 21,Facebook - 5,Apple - 4,Google - 3,DoorDash - 2,Medium
32,Jump Game II,Dynamic Programming,https://www.youtube.com/watch?v=d_1GRnMg_zs,Amazon - 12,DoorDash - 04,Bloomberg - 3,Google - 3,Microsoft - 3,Medium
33,Regular Expression Matching,Dynamic Programming,https://www.youtube.com/watch?v=VFQddcCP46c,Microsoft - 18,Amazon - 08,Facebook - 06,Google - 06,Bloomberg - 03,Hard
34,Race Car,Dynamic Programming,https://www.youtube.com/watch?v=TAXt_TkSNfw,Google - 92,Amazon - 12,Microsoft- 2,Apple - 2,,Hard
35,Clone Graph,Graph,https://www.youtube.com/watch?v=1aN0WWM0-Eo,Facebook - 28,Bloomberg - 8,Amazon - 7,Google - 5,Microsoft - 3,Medium
36,Course Schedule,Graph,https://www.youtube.com/watch?v=ge9WKEsVue0,Amazon - 34,Google - 9,Tiktok - 9,Microsoft - 8,Facebook - 7,Medium
37,Course Schedule II,Graph,https://www.youtube.com/watch?v=_RWV4hZdmdk,Amazon - 40,Google - 14,Microsoft - 13,Apple - 6,Tik Tok - 4,Medium
38,Pacific Atlantic Water Flow,Graph,https://www.youtube.com/watch?v=fTohawuMcvY,Amazon - 6,Google - 6,Microsoft - 4,Uber - 3,Facebook - 2,Medium
39,Number of Islands,Graph,https://www.youtube.com/watch?v=H-2Nh2RXX6g,Amazon - 115,Microsoft - 44,Bloomberg - 29,Facebook - 25,Google - 16,Medium
40,Longest Consecutive Sequence,Graph,https://www.youtube.com/watch?v=sJBf-JdWGhM,Amazon - 21,Google - 12,Microsoft - 9,Bloomberg - 6,Apple - 6,Medium
41,Alien Dictionary (Leetcode Premium),Graph,https://www.youtube.com/watch?v=1QbsN5JyPto,Airbnb - 18,Amazon - 12,Facebook - 9,Google - 6,Microsoft - 5,Hard
42,Graph Valid Tree (Leetcode Premium),Graph,https://www.youtube.com/watch?v=WU3-vo0MJW0,Linked In - 9,Google - 3,Microsoft - 3,Amazon - 2,Bloomberg - 2,Medium
43,Number of Provinces,Graph,https://www.youtube.com/watch?v=ff38kbREIX8,Amazon - 22,DoorDash - 8,Apple - 2,Google - 2,Bloomberg - 3,Medium
44,Find the Celebrity,Graph,https://www.youtube.com/watch?v=lqdgGNGPS68,Amazon - 5,Microsoft - 4,Linked in - 4,Facebook - 5,Apple - 3,Medium
45,Number of Connected Components in an Undirected Graph (Leetcode Premium),Graph,https://www.youtube.com/watch?v=NDInpfnTMos,Amazon - 7,Facebook - 3,Google - 2,Microsoft - 2,Pinetrest - 2,Medium
